scene_no,event_id,task,environment,object_label,scene_interactiveobj,scene_dir,assigned_count
29,0023,avoid,office,plasticbox_0001,office_plasticbox_0001,office_1_0023_avoid_plasticbox_0001_proposal_human_node_O_83_crop_frame_000105_stamp_383600005716_kicking,6
30,0024,warn,office,woodchair_0001,office_woodchair_0001,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,6
31,0025,assist,office,suitcase_0001,office_suitcase_0001,office_1_0025_assist_suitcase_0001_proposal_human_node_O_134_crop_frame_000140_stamp_389950005810_carrying,6
32,0026,continue,office,woodchair_0001,office_woodchair_0001,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying,6
33,0027,assist,office,instancedbp_door_250cm4,office_instancedbp_door_250cm4,office_1_0027_assist_instancedbp_door_250cm4_proposal_human_node_O_99_crop_frame_000414_stamp_598800008922_carrying,6
34,0029,avoid,office,largebox_0002,office_largebox_0002,office_1_0029_avoid_largebox_0002_proposal_human_node_O_43_crop_frame_000153_stamp_231150003444_kicking,6
35,0029,monitor,office,woodchair_0001,office_woodchair_0001,office_1_0029_monitor_woodchair_0001_proposal_human_node_O_86_crop_frame_000253_stamp_492600007340_lifting,6
36,0031,continue,office,sm_plant12,office_sm_plant12,office_1_0031_continue_sm_plant12_proposal_human_node_O_149_crop_frame_000236_stamp_407350006069_carrying,6
37,0032,assist,office,largebox_0001,office_largebox_0001,office_1_0032_assist_largebox_0001_proposal_human_node_O_149_crop_frame_000246_stamp_409200006097_carrying,6
38,0033,avoid,office,woodchair_0001,office_woodchair_0001,office_1_0033_avoid_woodchair_0001_proposal_human_node_O_86_crop_frame_000262_stamp_494650007370_placing,6
39,0036,continue,office,largebox_0002,office_largebox_0002,office_1_0036_continue_largebox_0002_proposal_human_node_O_43_crop_frame_000199_stamp_239600003570_carrying,6
40,0036,warn,office,largebox_0001,office_largebox_0001,office_1_0036_warn_largebox_0001_proposal_human_node_O_149_crop_frame_000267_stamp_412550006147_kicking,6
41,0038,assist,office,clothesstand_0001,office_clothesstand_0001,office_1_0038_assist_clothesstand_0001_proposal_human_node_O_96_crop_frame_000282_stamp_257100003831_lifting,6
42,0040,assist,office,monitor_0002,office_monitor_0002,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying,6
43,0043,monitor,office,plasticbox_0001,office_plasticbox_0001,office_1_0043_monitor_plasticbox_0001_proposal_human_node_O_49_crop_frame_000219_stamp_327400004878_kicking,6
44,0044,continue,office,smalltable_0001,office_smalltable_0001,office_1_0044_continue_smalltable_0001_proposal_human_node_O_175_crop_frame_000265_stamp_336300005011_standing,6
45,0048,avoid,office,clothesstand_0001,office_clothesstand_0001,office_1_0048_avoid_clothesstand_0001_proposal_human_node_O_96_crop_frame_000329_stamp_267450003985_standing,6
46,0051,assist,office,sm_briefcase3,office_sm_briefcase3,office_1_0051_assist_sm_briefcase3_proposal_human_node_O_178_crop_frame_000278_stamp_339500005058_carrying,6
47,0057,warn,office,monitor_0005,office_monitor_0005,office_1_0057_warn_monitor_0005_proposal_human_node_O_201_crop_frame_000328_stamp_350100005216_placing,6
48,0071,warn,office,largetable_0002,office_largetable_0002,office_1_0071_warn_largetable_0002_proposal_human_node_O_178_crop_frame_000372_stamp_361100005380_carrying,6
49,0074,avoid,office,largetable_0002,office_largetable_0002,office_1_0074_avoid_largetable_0002_proposal_human_node_O_178_crop_frame_000376_stamp_362450005400_carrying,6
50,0002,continue,warehouse,plasticbox_0001,warehouse_plasticbox_0001,warehouse_1_0002_continue_plasticbox_0001_proposal_human_node_O_16_crop_frame_000024_stamp_57250000853_kicking,6
51,0004,monitor,warehouse,plasticbox_0001,warehouse_plasticbox_0001,warehouse_1_0004_monitor_plasticbox_0001_proposal_human_node_O_16_crop_frame_000026_stamp_57650000859_kicking,6
52,0008,monitor,warehouse,trashcan_0001,warehouse_trashcan_0001,warehouse_1_0008_monitor_trashcan_0001_proposal_human_node_O_27_crop_frame_000054_stamp_62900000937_kicking,6
53,0012,monitor,warehouse,tripod_0001,warehouse_tripod_0001,warehouse_1_0012_monitor_tripod_0001_proposal_human_node_O_14_crop_frame_000068_stamp_65900000981_carrying,6
54,0014,warn,warehouse,tripod_0001,warehouse_tripod_0001,warehouse_1_0014_warn_tripod_0001_proposal_human_node_O_14_crop_frame_000084_stamp_68550001021_dropping,6
55,0015,continue,warehouse,smallklt_visual_169,warehouse_smallklt_visual_169,warehouse_1_0015_continue_smallklt_visual_169_proposal_human_node_O_60_crop_frame_000085_stamp_68850001025_placing,6
56,0022,assist,warehouse,woodchair_0001,warehouse_woodchair_0001,warehouse_1_0022_assist_woodchair_0001_proposal_human_node_O_105_crop_frame_000127_stamp_75800001129_carrying,6
57,0024,warn,warehouse,largebox_0002,warehouse_largebox_0002,warehouse_1_0024_warn_largebox_0002_proposal_human_node_O_58_crop_frame_000163_stamp_85250001270_throwing,6
58,0036,avoid,warehouse,largebox_0002,warehouse_largebox_0002,warehouse_1_0036_avoid_largebox_0002_proposal_human_node_O_58_crop_frame_000183_stamp_88550001319_carrying,6
59,0042,assist,warehouse,largebox_0002,warehouse_largebox_0002,warehouse_1_0042_assist_largebox_0002_proposal_human_node_O_58_crop_frame_000205_stamp_92200001373_holding,6
60,0047,avoid,warehouse,plasticbox_0001,warehouse_plasticbox_0001,warehouse_1_0047_avoid_plasticbox_0001_proposal_human_node_O_16_crop_frame_000248_stamp_100050001490_lifting,6
61,0079,avoid,warehouse,tripod_0001,warehouse_tripod_0001,warehouse_1_0079_avoid_tripod_0001_proposal_human_node_O_14_crop_frame_000409_stamp_136200002029_carrying,6
62,0081,continue,warehouse,tripod_0001,warehouse_tripod_0001,warehouse_1_0081_continue_tripod_0001_proposal_human_node_O_14_crop_frame_000415_stamp_137700002051_carrying,6
63,0083,warn,warehouse,plasticbox_0001,warehouse_plasticbox_0001,warehouse_1_0083_warn_plasticbox_0001_proposal_human_node_O_112_crop_frame_000420_stamp_138900002069_kicking,6
64,0085,assist,warehouse,plasticbox_0001,warehouse_plasticbox_0001,warehouse_1_0085_assist_plasticbox_0001_proposal_human_node_O_112_crop_frame_000436_stamp_143250002134_lifting,6
65,0088,continue,warehouse,smallbox_0001,warehouse_smallbox_0001,warehouse_1_0088_continue_smallbox_0001_proposal_human_node_O_138_crop_frame_000458_stamp_148700002215_carrying,6
