participant_id,scene_1_no,scene_1_event_id,scene_1_task,scene_1_interactiveobj,scene_1_dir,scene_1_url_anchor,scene_2_no,scene_2_event_id,scene_2_task,scene_2_interactiveobj,scene_2_dir,scene_2_url_anchor,scene_3_no,scene_3_event_id,scene_3_task,scene_3_interactiveobj,scene_3_dir,scene_3_url_anchor,scene_4_no,scene_4_event_id,scene_4_task,scene_4_interactiveobj,scene_4_dir,scene_4_url_anchor,scene_5_no,scene_5_event_id,scene_5_task,scene_5_interactiveobj,scene_5_dir,scene_5_url_anchor
P011,34,0029,avoid,office_largebox_0002,office_1_0029_avoid_largebox_0002_proposal_human_node_O_43_crop_frame_000153_stamp_231150003444_kicking,#scene-034-0029-office-avoid,33,0027,assist,office_instancedbp_door_250cm4,office_1_0027_assist_instancedbp_door_250cm4_proposal_human_node_O_99_crop_frame_000414_stamp_598800008922_carrying,#scene-033-0027-office-assist,52,0008,monitor,warehouse_trashcan_0001,warehouse_1_0008_monitor_trashcan_0001_proposal_human_node_O_27_crop_frame_000054_stamp_62900000937_kicking,#scene-052-0008-warehouse-monitor,50,0002,continue,warehouse_plasticbox_0001,warehouse_1_0002_continue_plasticbox_0001_proposal_human_node_O_16_crop_frame_000024_stamp_57250000853_kicking,#scene-050-0002-warehouse-continue,47,0057,warn,office_monitor_0005,office_1_0057_warn_monitor_0005_proposal_human_node_O_201_crop_frame_000328_stamp_350100005216_placing,#scene-047-0057-office-warn
P012,31,0025,assist,office_suitcase_0001,office_1_0025_assist_suitcase_0001_proposal_human_node_O_134_crop_frame_000140_stamp_389950005810_carrying,#scene-031-0025-office-assist,50,0002,continue,warehouse_plasticbox_0001,warehouse_1_0002_continue_plasticbox_0001_proposal_human_node_O_16_crop_frame_000024_stamp_57250000853_kicking,#scene-050-0002-warehouse-continue,4,0027,warn,hospital_plasticbox_0001,hospital_1_0027_warn_plasticbox_0001_proposal_human_node_O_132_crop_frame_000329_stamp_171750002559_kicking,#scene-004-0027-hospital-warn,9,0037,monitor,hospital_suitcase_0001,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking,#scene-009-0037-hospital-monitor,24,0017,avoid,office_monitor_0001,office_1_0017_avoid_monitor_0001_proposal_human_node_O_29_crop_frame_000112_stamp_223150003325_carrying,#scene-024-0017-office-avoid
P013,21,0012,monitor,office_suitcase_0001,office_1_0012_monitor_suitcase_0001_proposal_human_node_O_21_crop_frame_000067_stamp_299050004456_kicking,#scene-021-0012-office-monitor,12,0001,continue,office_largebox_0001,office_1_0001_continue_largebox_0001_proposal_human_node_O_0_crop_frame_000001_stamp_285200004249_standing,#scene-012-0001-office-continue,45,0048,avoid,office_clothesstand_0001,office_1_0048_avoid_clothesstand_0001_proposal_human_node_O_96_crop_frame_000329_stamp_267450003985_standing,#scene-045-0048-office-avoid,30,0024,warn,office_woodchair_0001,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,#scene-030-0024-office-warn,46,0051,assist,office_sm_briefcase3,office_1_0051_assist_sm_briefcase3_proposal_human_node_O_178_crop_frame_000278_stamp_339500005058_carrying,#scene-046-0051-office-assist
P014,58,0036,avoid,warehouse_largebox_0002,warehouse_1_0036_avoid_largebox_0002_proposal_human_node_O_58_crop_frame_000183_stamp_88550001319_carrying,#scene-058-0036-warehouse-avoid,64,0085,assist,warehouse_plasticbox_0001,warehouse_1_0085_assist_plasticbox_0001_proposal_human_node_O_112_crop_frame_000436_stamp_143250002134_lifting,#scene-064-0085-warehouse-assist,55,0015,continue,warehouse_smallklt_visual_169,warehouse_1_0015_continue_smallklt_visual_169_proposal_human_node_O_60_crop_frame_000085_stamp_68850001025_placing,#scene-055-0015-warehouse-continue,52,0008,monitor,warehouse_trashcan_0001,warehouse_1_0008_monitor_trashcan_0001_proposal_human_node_O_27_crop_frame_000054_stamp_62900000937_kicking,#scene-052-0008-warehouse-monitor,4,0027,warn,hospital_plasticbox_0001,hospital_1_0027_warn_plasticbox_0001_proposal_human_node_O_132_crop_frame_000329_stamp_171750002559_kicking,#scene-004-0027-hospital-warn
P015,49,0074,avoid,office_largetable_0002,office_1_0074_avoid_largetable_0002_proposal_human_node_O_178_crop_frame_000376_stamp_362450005400_carrying,#scene-049-0074-office-avoid,27,0020,monitor,office_largebox_0001,office_1_0020_monitor_largebox_0001_proposal_human_node_O_7_crop_frame_000126_stamp_225600003361_kicking,#scene-027-0020-office-monitor,65,0088,continue,warehouse_smallbox_0001,warehouse_1_0088_continue_smallbox_0001_proposal_human_node_O_138_crop_frame_000458_stamp_148700002215_carrying,#scene-065-0088-warehouse-continue,11,0001,assist,office_largetable_0001,office_1_0001_assist_largetable_0001_proposal_human_node_O_19_crop_frame_000047_stamp_211000003144_lifting,#scene-011-0001-office-assist,23,0016,warn,office_monitor_0004,office_1_0016_warn_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587850008759_dropping,#scene-023-0016-office-warn
P016,46,0051,assist,office_sm_briefcase3,office_1_0051_assist_sm_briefcase3_proposal_human_node_O_178_crop_frame_000278_stamp_339500005058_carrying,#scene-046-0051-office-assist,30,0024,warn,office_woodchair_0001,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,#scene-030-0024-office-warn,2,0021,monitor,hospital_tripod_0001,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,#scene-002-0021-hospital-monitor,58,0036,avoid,warehouse_largebox_0002,warehouse_1_0036_avoid_largebox_0002_proposal_human_node_O_58_crop_frame_000183_stamp_88550001319_carrying,#scene-058-0036-warehouse-avoid,12,0001,continue,office_largebox_0001,office_1_0001_continue_largebox_0001_proposal_human_node_O_0_crop_frame_000001_stamp_285200004249_standing,#scene-012-0001-office-continue
P017,45,0048,avoid,office_clothesstand_0001,office_1_0048_avoid_clothesstand_0001_proposal_human_node_O_96_crop_frame_000329_stamp_267450003985_standing,#scene-045-0048-office-avoid,54,0014,warn,warehouse_tripod_0001,warehouse_1_0014_warn_tripod_0001_proposal_human_node_O_14_crop_frame_000084_stamp_68550001021_dropping,#scene-054-0014-warehouse-warn,56,0022,assist,warehouse_woodchair_0001,warehouse_1_0022_assist_woodchair_0001_proposal_human_node_O_105_crop_frame_000127_stamp_75800001129_carrying,#scene-056-0022-warehouse-assist,25,0018,monitor,office_plasticbox_0001,office_1_0018_monitor_plasticbox_0001_proposal_human_node_O_83_crop_frame_000097_stamp_381500005684_kicking,#scene-025-0018-office-monitor,10,0041,continue,hospital_tripod_0001,hospital_1_0041_continue_tripod_0001_proposal_human_node_O_82_crop_frame_000387_stamp_87900001309_putting_down,#scene-010-0041-hospital-continue
P018,47,0057,warn,office_monitor_0005,office_1_0057_warn_monitor_0005_proposal_human_node_O_201_crop_frame_000328_stamp_350100005216_placing,#scene-047-0057-office-warn,14,0007,continue,office_trashcan_0001,office_1_0007_continue_trashcan_0001_proposal_human_node_O_14_crop_frame_000026_stamp_444450006622_standing,#scene-014-0007-office-continue,9,0037,monitor,hospital_suitcase_0001,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking,#scene-009-0037-hospital-monitor,41,0038,assist,office_clothesstand_0001,office_1_0038_assist_clothesstand_0001_proposal_human_node_O_96_crop_frame_000282_stamp_257100003831_lifting,#scene-041-0038-office-assist,38,0033,avoid,office_woodchair_0001,office_1_0033_avoid_woodchair_0001_proposal_human_node_O_86_crop_frame_000262_stamp_494650007370_placing,#scene-038-0033-office-avoid
P019,39,0036,continue,office_largebox_0002,office_1_0036_continue_largebox_0002_proposal_human_node_O_43_crop_frame_000199_stamp_239600003570_carrying,#scene-039-0036-office-continue,24,0017,avoid,office_monitor_0001,office_1_0017_avoid_monitor_0001_proposal_human_node_O_29_crop_frame_000112_stamp_223150003325_carrying,#scene-024-0017-office-avoid,41,0038,assist,office_clothesstand_0001,office_1_0038_assist_clothesstand_0001_proposal_human_node_O_96_crop_frame_000282_stamp_257100003831_lifting,#scene-041-0038-office-assist,51,0004,monitor,warehouse_plasticbox_0001,warehouse_1_0004_monitor_plasticbox_0001_proposal_human_node_O_16_crop_frame_000026_stamp_57650000859_kicking,#scene-051-0004-warehouse-monitor,57,0024,warn,warehouse_largebox_0002,warehouse_1_0024_warn_largebox_0002_proposal_human_node_O_58_crop_frame_000163_stamp_85250001270_throwing,#scene-057-0024-warehouse-warn
P020,62,0081,continue,warehouse_tripod_0001,warehouse_1_0081_continue_tripod_0001_proposal_human_node_O_14_crop_frame_000415_stamp_137700002051_carrying,#scene-062-0081-warehouse-continue,37,0032,assist,office_largebox_0001,office_1_0032_assist_largebox_0001_proposal_human_node_O_149_crop_frame_000246_stamp_409200006097_carrying,#scene-037-0032-office-assist,22,0015,avoid,office_monitor_0004,office_1_0015_avoid_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587750008758_lifting,#scene-022-0015-office-avoid,28,0022,monitor,office_largebox_0002,office_1_0022_monitor_largebox_0002_proposal_human_node_O_43_crop_frame_000133_stamp_226850003380_kicking,#scene-028-0022-office-monitor,30,0024,warn,office_woodchair_0001,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,#scene-030-0024-office-warn
P021,32,0026,continue,office_woodchair_0001,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying,#scene-032-0026-office-continue,22,0015,avoid,office_monitor_0004,office_1_0015_avoid_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587750008758_lifting,#scene-022-0015-office-avoid,46,0051,assist,office_sm_briefcase3,office_1_0051_assist_sm_briefcase3_proposal_human_node_O_178_crop_frame_000278_stamp_339500005058_carrying,#scene-046-0051-office-assist,3,0023,warn,hospital_tripod_0001,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,#scene-003-0023-hospital-warn,53,0012,monitor,warehouse_tripod_0001,warehouse_1_0012_monitor_tripod_0001_proposal_human_node_O_14_crop_frame_000068_stamp_65900000981_carrying,#scene-053-0012-warehouse-monitor
P022,57,0024,warn,warehouse_largebox_0002,warehouse_1_0024_warn_largebox_0002_proposal_human_node_O_58_crop_frame_000163_stamp_85250001270_throwing,#scene-057-0024-warehouse-warn,32,0026,continue,office_woodchair_0001,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying,#scene-032-0026-office-continue,56,0022,assist,warehouse_woodchair_0001,warehouse_1_0022_assist_woodchair_0001_proposal_human_node_O_105_crop_frame_000127_stamp_75800001129_carrying,#scene-056-0022-warehouse-assist,45,0048,avoid,office_clothesstand_0001,office_1_0048_avoid_clothesstand_0001_proposal_human_node_O_96_crop_frame_000329_stamp_267450003985_standing,#scene-045-0048-office-avoid,21,0012,monitor,office_suitcase_0001,office_1_0012_monitor_suitcase_0001_proposal_human_node_O_21_crop_frame_000067_stamp_299050004456_kicking,#scene-021-0012-office-monitor
P023,27,0020,monitor,office_largebox_0001,office_1_0020_monitor_largebox_0001_proposal_human_node_O_7_crop_frame_000126_stamp_225600003361_kicking,#scene-027-0020-office-monitor,10,0041,continue,hospital_tripod_0001,hospital_1_0041_continue_tripod_0001_proposal_human_node_O_82_crop_frame_000387_stamp_87900001309_putting_down,#scene-010-0041-hospital-continue,61,0079,avoid,warehouse_tripod_0001,warehouse_1_0079_avoid_tripod_0001_proposal_human_node_O_14_crop_frame_000409_stamp_136200002029_carrying,#scene-061-0079-warehouse-avoid,8,0036,assist,hospital_suitcase_0001,hospital_1_0036_assist_suitcase_0001_proposal_human_node_O_97_crop_frame_000336_stamp_79050001177_lifting,#scene-008-0036-hospital-assist,30,0024,warn,office_woodchair_0001,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,#scene-030-0024-office-warn
P024,27,0020,monitor,office_largebox_0001,office_1_0020_monitor_largebox_0001_proposal_human_node_O_7_crop_frame_000126_stamp_225600003361_kicking,#scene-027-0020-office-monitor,11,0001,assist,office_largetable_0001,office_1_0001_assist_largetable_0001_proposal_human_node_O_19_crop_frame_000047_stamp_211000003144_lifting,#scene-011-0001-office-assist,5,0031,avoid,hospital_tripod_0001,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,#scene-005-0031-hospital-avoid,32,0026,continue,office_woodchair_0001,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying,#scene-032-0026-office-continue,15,0007,warn,office_monitor_0002,office_1_0007_warn_monitor_0002_proposal_human_node_O_28_crop_frame_000051_stamp_372350005548_dropping,#scene-015-0007-office-warn
P025,35,0029,monitor,office_woodchair_0001,office_1_0029_monitor_woodchair_0001_proposal_human_node_O_86_crop_frame_000253_stamp_492600007340_lifting,#scene-035-0029-office-monitor,11,0001,assist,office_largetable_0001,office_1_0001_assist_largetable_0001_proposal_human_node_O_19_crop_frame_000047_stamp_211000003144_lifting,#scene-011-0001-office-assist,19,0011,continue,office_plasticbox_0001,office_1_0011_continue_plasticbox_0001_proposal_human_node_O_83_crop_frame_000081_stamp_378600005641_walking,#scene-019-0011-office-continue,22,0015,avoid,office_monitor_0004,office_1_0015_avoid_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587750008758_lifting,#scene-022-0015-office-avoid,47,0057,warn,office_monitor_0005,office_1_0057_warn_monitor_0005_proposal_human_node_O_201_crop_frame_000328_stamp_350100005216_placing,#scene-047-0057-office-warn
P026,15,0007,warn,office_monitor_0002,office_1_0007_warn_monitor_0002_proposal_human_node_O_28_crop_frame_000051_stamp_372350005548_dropping,#scene-015-0007-office-warn,35,0029,monitor,office_woodchair_0001,office_1_0029_monitor_woodchair_0001_proposal_human_node_O_86_crop_frame_000253_stamp_492600007340_lifting,#scene-035-0029-office-monitor,61,0079,avoid,warehouse_tripod_0001,warehouse_1_0079_avoid_tripod_0001_proposal_human_node_O_14_crop_frame_000409_stamp_136200002029_carrying,#scene-061-0079-warehouse-avoid,20,0012,assist,office_monitor_0004,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying,#scene-020-0012-office-assist,55,0015,continue,warehouse_smallklt_visual_169,warehouse_1_0015_continue_smallklt_visual_169_proposal_human_node_O_60_crop_frame_000085_stamp_68850001025_placing,#scene-055-0015-warehouse-continue
P027,19,0011,continue,office_plasticbox_0001,office_1_0011_continue_plasticbox_0001_proposal_human_node_O_83_crop_frame_000081_stamp_378600005641_walking,#scene-019-0011-office-continue,20,0012,assist,office_monitor_0004,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying,#scene-020-0012-office-assist,24,0017,avoid,office_monitor_0001,office_1_0017_avoid_monitor_0001_proposal_human_node_O_29_crop_frame_000112_stamp_223150003325_carrying,#scene-024-0017-office-avoid,2,0021,monitor,hospital_tripod_0001,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,#scene-002-0021-hospital-monitor,48,0071,warn,office_largetable_0002,office_1_0071_warn_largetable_0002_proposal_human_node_O_178_crop_frame_000372_stamp_361100005380_carrying,#scene-048-0071-office-warn
P028,5,0031,avoid,hospital_tripod_0001,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,#scene-005-0031-hospital-avoid,27,0020,monitor,office_largebox_0001,office_1_0020_monitor_largebox_0001_proposal_human_node_O_7_crop_frame_000126_stamp_225600003361_kicking,#scene-027-0020-office-monitor,59,0042,assist,warehouse_largebox_0002,warehouse_1_0042_assist_largebox_0002_proposal_human_node_O_58_crop_frame_000205_stamp_92200001373_holding,#scene-059-0042-warehouse-assist,48,0071,warn,office_largetable_0002,office_1_0071_warn_largetable_0002_proposal_human_node_O_178_crop_frame_000372_stamp_361100005380_carrying,#scene-048-0071-office-warn,65,0088,continue,warehouse_smallbox_0001,warehouse_1_0088_continue_smallbox_0001_proposal_human_node_O_138_crop_frame_000458_stamp_148700002215_carrying,#scene-065-0088-warehouse-continue
P029,44,0044,continue,office_smalltable_0001,office_1_0044_continue_smalltable_0001_proposal_human_node_O_175_crop_frame_000265_stamp_336300005011_standing,#scene-044-0044-office-continue,3,0023,warn,hospital_tripod_0001,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,#scene-003-0023-hospital-warn,8,0036,assist,hospital_suitcase_0001,hospital_1_0036_assist_suitcase_0001_proposal_human_node_O_97_crop_frame_000336_stamp_79050001177_lifting,#scene-008-0036-hospital-assist,13,0005,avoid,office_largetable_0001,office_1_0005_avoid_largetable_0001_proposal_human_node_O_19_crop_frame_000057_stamp_212700003169_lifting,#scene-013-0005-office-avoid,53,0012,monitor,warehouse_tripod_0001,warehouse_1_0012_monitor_tripod_0001_proposal_human_node_O_14_crop_frame_000068_stamp_65900000981_carrying,#scene-053-0012-warehouse-monitor
P030,22,0015,avoid,office_monitor_0004,office_1_0015_avoid_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587750008758_lifting,#scene-022-0015-office-avoid,2,0021,monitor,hospital_tripod_0001,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,#scene-002-0021-hospital-monitor,62,0081,continue,warehouse_tripod_0001,warehouse_1_0081_continue_tripod_0001_proposal_human_node_O_14_crop_frame_000415_stamp_137700002051_carrying,#scene-062-0081-warehouse-continue,40,0036,warn,office_largebox_0001,office_1_0036_warn_largebox_0001_proposal_human_node_O_149_crop_frame_000267_stamp_412550006147_kicking,#scene-040-0036-office-warn,11,0001,assist,office_largetable_0001,office_1_0001_assist_largetable_0001_proposal_human_node_O_19_crop_frame_000047_stamp_211000003144_lifting,#scene-011-0001-office-assist
